K,751,731,711,551,531,511,331,311,000
0.6,0.27,0.24,0.21,0.26,0.23,0.21,0.23,0.21,0.2
0.8,0.32,0.28,0.26,0.31,0.28,0.26,0.28,0.26,0.25
1,0.35,0.32,0.3,0.35,0.32,0.3,0.32,0.3,0.29
1.25,0.39,0.36,0.34,0.38,0.36,0.34,0.35,0.33,0.32
1.5,0.41,0.39,0.37,0.4,0.38,0.36,0.38,0.36,0.35
2,0.45,0.42,0.41,0.44,0.42,0.4,0.41,0.4,0.39
2.5,0.47,0.45,0.43,0.46,0.44,0.43,0.44,0.42,0.41
3,0.48,0.46,0.45,0.47,0.46,0.45,0.45,0.44,0.43
4,0.49,0.48,0.47,0.48,0.47,0.47,0.47,0.46,0.45
5,0.5,0.49,0.48,0.49,0.48,0.48,0.48,0.47,0.46